feature_name,feature_present,cad_size_px,measured_size_px,deviation_px
#1 rect cutout_width,YES,141.73,143.0,1.27
#1 rect cutout_height,YES,141.73,139.0,-2.73
overall_width,NO,271.88,275.0,3.12
overall_height,NO,456.05,451.0,-5.05
