feature_name,feature_present,cad_size_mm,measured_size_mm,deviation_mm,tolerance_mm,status,unit
#1 hole,YES,2.9516,4.9665,2.0149,0.1,FAIL,mm (radius)
#1 hole_dia,YES,5.9031,9.933,4.0299,0.2,FAIL,mm (diameter)
#2 hole,YES,2.9516,5.7693,2.8178,0.1,FAIL,mm (radius)
#2 hole_dia,YES,5.9031,11.5387,5.6355,0.2,FAIL,mm (diameter)
#3 rect cutout_width,YES,25.654,25.7771,0.1231,0.3,PASS,mm
#3 rect cutout_height,YES,25.654,26.7609,1.1069,0.3,FAIL,mm
overall_width,NO,50.0063,48.9961,-1.0102,1.0,FAIL,mm
overall_height,NO,83.3438,79.6924,-3.6513,1.0,FAIL,mm
spacing_#1 hole_to_#2 hole,NO,31.6955,32.8693,1.1739,0.3,FAIL,mm
